group,key,input,output
0,00112233445566778899aabbccddeeff,7e7f987e44b21809072ac92f17a70fff,dac03cb4aaa84d5ecbe2174d0647dc69
0,00112233445566778899aabbccddeeff,2800a2b2d7f50abfd1033d6a4bd832ea,7068b7231319809d036f2e967138a20b
0,00112233445566778899aabbccddeeff,cf78b5d6085b91c0b80b6b1f5bbf7706,b2d2df9c1b5f274631fb6dc84c6754a1
0,00112233445566778899aabbccddeeff,d012463cc0f4c7a500ef7dce32e0f132,57e00a9429b1a7eabc4b8b3326532692
0,00112233445566778899aabbccddeeff,9449282126d8d34ebdad52621545d1d6,328c222b35bf68a93ff6f574cf566e07
0,00112233445566778899aabbccddeeff,31ec8da3bd9e09050d0845c1e2d91e38,041728b7955f971de9834176a46345d3
0,00112233445566778899aabbccddeeff,60ba503cd9c146d3904340aca4e7ddd1,4ebd1fdd82adbad2ec1fa33b2faba7ee
0,00112233445566778899aabbccddeeff,a95a6e7a79d9633b90212cff02155e2a,ae86c48f27345b93fb254d88786f3134
0,00112233445566778899aabbccddeeff,ce930b6d72c2efc7495a81578fd3838f,fed816f0fc7410a5cf5c6f0106173c14
0,00112233445566778899aabbccddeeff,8a4ff85c710ab7165f95deb0cc4dadd8,76bcfd454c014cabced19421461a5557
0,00112233445566778899aabbccddeeff,bc3ceed607383b03b961bab64cd3854c,16fc473d685d04d7e01b691c8ae13a34
0,00112233445566778899aabbccddeeff,e1070ec4d2765de89d6048577aad4b45,058810006dfd6f2bcb0bffd2835646da
0,00112233445566778899aabbccddeeff,e0d521b94bd7041ec1186754886234dc,03fa46dce649e47c33f9b5bb44eac01b
0,00112233445566778899aabbccddeeff,084bc50bd122100611cda32a0372721d,487e60b370bf5235c26eac7d3e6c0570
0,00112233445566778899aabbccddeeff,1ac4dbef6f7ec7e9d22892ee4757aedb,43823f890823eb442d72bc8903b66803
0,00112233445566778899aabbccddeeff,90f6e36d3a7ebcd70847f582d5e5b672,1e84f53672647651b3b7a28b52daf766
0,00112233445566778899aabbccddeeff,e643c4c26587b108279d26579152def3,8a2d15b632c266f90b7e8750f1bacc1c
0,00112233445566778899aabbccddeeff,5cb527942eb74e109e3be7ada9b9a174,e071801a96c0ae82219125358b5a2298
0,00112233445566778899aabbccddeeff,c8a6d63abc9e76fb9696da6912f335a5,83f2d2bef770125009eed9f3eb824460
0,00112233445566778899aabbccddeeff,23f22e7b1c97c91a07703f42655dc202,e0f901789f18441ac1e485c1798c8731
0,00112233445566778899aabbccddeeff,9c16a487118bebf29a2a50ef404b388b,d304beb8da6844553696f5c2c75c0c82
0,00112233445566778899aabbccddeeff,aba1648fe17f5637b63db28406d34e49,6873c46ce47e8d5e16246d92b1c9a744
0,00112233445566778899aabbccddeeff,b65d7837cef537e0f3d8a315c4f612ac,88d8489c43e15bc8886f0d3283c170f0
0,00112233445566778899aabbccddeeff,35809f0a8fc3ade4e4bdcfe153fb97fb,77b1ef38f0d5005b3516a10d1113f97c
0,00112233445566778899aabbccddeeff,d03e068f73b7714cb303a4f189919a43,59f3549c37952ba39d38ffd1ba00ec1a
0,00112233445566778899aabbccddeeff,ca04f8cd59ecb292341957a58025df7a,ed4b0f7a4d3ead129a6f619892c85001
0,00112233445566778899aabbccddeeff,8b0aed4e42ec7a93595839c2ea5799f3,8fb7acfa842f06a32393f88b0b91e283
