group,key,input,output
1,00112233445566778899aabbccddeeff,48a608638593018d1afeef6a60ea00d3,bdf5f7523a39dc3ba9ac73528067d5d8
0,00112233445566778899aabbccddeeff,e797625e438a03058abd099dc9acc27d,e918303ea910fb964f11efcb47950b88
0,00112233445566778899aabbccddeeff,791f765e8f3443ea348e9dda88a562f6,5e2439b275eee3bd875ccd2965e375a1
1,00112233445566778899aabbccddeeff,bdb90f3372bbfa55638ba445849cc8a7,e47be6493da253d47a24a6854d10564e
0,00112233445566778899aabbccddeeff,630a5889af82260199f1ed27d8f15acc,9437cc0e4eb0078fe00d193a325ea8cb
1,00112233445566778899aabbccddeeff,2132967a19a91d6e7094ecbbeaed807e,6936418ceec4700855b892d47f37b018
1,00112233445566778899aabbccddeeff,f9db6d0fecf1cb2f63b1b4f2df05f05a,3e3520318b05159c71dcce810cfdaae4
1,00112233445566778899aabbccddeeff,c3204e84b203eceb2b90a1926edcd088,763ea0086c6db7e0a457915813bc0e70
1,00112233445566778899aabbccddeeff,3cc2cf799b5f9f687187814457e6abb4,5e2efa757c83fc2fe2cbebce7e653dcb
0,00112233445566778899aabbccddeeff,f5782dc125bb1a770674b8c4b69d0606,c4c1106dab2baa7cbc1ce527a095cabe
0,00112233445566778899aabbccddeeff,8b84844821f75747e9295771097f582f,de46714982b272d08bcc7e6915953421
1,00112233445566778899aabbccddeeff,9047d9edc738809ef1f7ac972541d9d0,f0539019f1993a963220df3b68f93cf6
1,00112233445566778899aabbccddeeff,ebe03a1cefb5d4908000d15bf83b50b3,b389c1e96eae0543b4b3ce8de786b4ee
0,00112233445566778899aabbccddeeff,5bc5ad56bb34dc4ce4b158e7f88678bb,5fd6c8a9276856a68c6b22c6303f7a58
0,00112233445566778899aabbccddeeff,1c88ac9318ac5c71c05a453d723a008f,8d472b3aceaf0842558065ae2a03c8bf
1,00112233445566778899aabbccddeeff,86022e3f3ba92329e07510ea81c636c6,31b81ea024579c3f3cdc9137678f9f8a
1,00112233445566778899aabbccddeeff,8f79cdcb10de9317cb0e05e44801feec,3ed62d0ad3f09cacf116a8eae211430a
1,00112233445566778899aabbccddeeff,37cf462f58ce8d5a0114a46e25811c7f,00c91c7e266dcff7d385c4ba902779ae
1,00112233445566778899aabbccddeeff,23588ad18287b17aa41406748b74a453,a279b8b476fec9fe9a82375dce3072c6
1,00112233445566778899aabbccddeeff,0e939f2c98d08e27729d529ca6e2b9e6,34e757b893196a6df63c15d6c7e3b234
0,00112233445566778899aabbccddeeff,2ad965472ba22151d4f75ac6cf574dab,b7b80d4b221d6d1e6f082c9004001412
0,00112233445566778899aabbccddeeff,114a86a51b0886adcd31adae0c9635b9,cd58241903d89fe215a91ab593df7549
1,00112233445566778899aabbccddeeff,ad0cdd5e60042fc32a60809619fc943e,1e691e76a2be911302ddcde12d99b6e6
