address,instruction,function,stage/unit
00000000 (000007d8 flushed),"sw t1,0(a0)",PRESENT_ENCRYPT_SBOX,"Decode Stage,Execute Stage,"
000007d8,"sw t1,0(a0)",PRESENT_ENCRYPT_SBOX,"Decode Stage,Execute Stage,Memory Stage,"
00000000 (000007cc flushed),"xor a4,a3,a5",PRESENT_ENCRYPT_SBOX,"Decode Stage,"
00000000 (000007d0 flushed),"xori t1,t1,-1",PRESENT_ENCRYPT_SBOX,"Decode Stage,Write-Back Stage,"
000007d4,"xor t1,t1,a4",PRESENT_ENCRYPT_SBOX,"Write-Back Stage,Memory Stage,"
000007c8,"and t1,t1,a4",PRESENT_ENCRYPT_SBOX,"Write-Back Stage,"
000007cc,"xor a4,a3,a5",PRESENT_ENCRYPT_SBOX,"Write-Back Stage,Execute Stage,"
00000000 (000007d4 flushed),"xor t1,t1,a4",PRESENT_ENCRYPT_SBOX,"Execute Stage,Memory Stage,"
000007d0,"xori t1,t1,-1",PRESENT_ENCRYPT_SBOX,"Execute Stage,"
out of processor 00000000 (000007d4 flushed),"xor t1,t1,a4",PRESENT_ENCRYPT_SBOX,"UART,SoC Interconnect,AES Coprocessor,T-DMA,not found,"
out of processor 000007d4,"xor t1,t1,a4",PRESENT_ENCRYPT_SBOX,"UART,T-DMA,SoC Interconnect,not found,Timer,AES Coprocessor,"
out of processor 000007d8,"sw t1,0(a0)",PRESENT_ENCRYPT_SBOX,"UART,SoC Interconnect,AES Coprocessor,T-DMA,not found,"
out of processor 00000000 (000007d8 flushed),"sw t1,0(a0)",PRESENT_ENCRYPT_SBOX,"not found,"
out of processor 00000000 (000007c8 flushed),"and t1,t1,a4",PRESENT_ENCRYPT_SBOX,"SoC Interconnect,"
00000000 (000007c8 flushed),"and t1,t1,a4",PRESENT_ENCRYPT_SBOX,"Memory Stage,"
