group,key,input,output
0,00000000000000000000000000000000,acb1ae4819f667aece2bd73da29bb2f1,b38c6fd20308a51317937dae04a5c8e3
0,00000000000000000000000000000000,58290bcb0e553a4e8eeecdb2c8395bf1,8219c6bc8dd333ae01e5d51a43e95e34
0,00000000000000000000000000000000,45b89a0c5a97b3b54b6e95700d9e3503,c59652e40e29c912b7aca1adf6ed9af8
0,00000000000000000000000000000000,824a077aba7e4a40cce950b3bd72385b,2ba1cb1f39e4818beafa353e607a0da7
0,00000000000000000000000000000000,c246390f9c08da298a054088580c9237,43251f3eee4b3f7f99c741a68cf87eff
0,00000000000000000000000000000000,86812b93f836ddfc35006acf206f74e1,9174731399cc18889b7bed60fe153619
0,00000000000000000000000000000000,c98f8511872e6f055a1cfca5695eb181,a8f0addc3309b56c562304e03d290703
0,00000000000000000000000000000000,b44a927c44e88e2db696a5479f2172b9,6e0be848be9dd75e4286e0715aded387
0,00000000000000000000000000000000,1b9b05ec77b31f472192a933465a976e,717543d2ab49c5c0cfb04e78ba144c90
0,00000000000000000000000000000000,051a9691454dd928de7d886f9be4fcf1,f0e569b675812269628c51504bd6748e
0,00000000000000000000000000000000,9276da1977e26f27ad2991cb99219209,4de1c6e238ce6ca8de5961d8bdfe216a
0,00000000000000000000000000000000,3bf4c6ba3c02ce61451f145de27353d9,a1e5dcc10c9f3e51b77068f7c41dec83
0,00000000000000000000000000000000,b131c8a14268965475348ecea1e8be21,6c0493c143ddb5e09199b79d990d4f23
0,00000000000000000000000000000000,8586f048203e00097e6df33d94d9ea2f,86e71dcb4c489eede20f44279ec60dde
0,00000000000000000000000000000000,f7bf5ff55fe786d56c883bf93e95178b,cca99fdbfaba2112904c1be16faf6f6d
0,00000000000000000000000000000000,f64be93c54a4b5e7514b2a32e86d94e4,f2f63c6db0ac01934561383a90b0840d
0,00000000000000000000000000000000,1a1cfad15419762685b6aae2ff28f174,d672bc8dec0fefd04e55469bdff056c9
0,00000000000000000000000000000000,ae59c52d09d95d0ce4f423afc007754a,ce19d2d9525b9d9daaef137bed69d018
0,00000000000000000000000000000000,ac763f725af2dc827b06c2db2602d08f,023ab9295d18fb45cd97b2a30ffb7983
0,00000000000000000000000000000000,79a52306824e1e952b9d4468039a346d,ac90677d919f38a7db78142923641404
0,00000000000000000000000000000000,2a9f2eb6c03bd5274eb8835c295cb034,13e41258bacf7015aea933ad7cf31256
0,00000000000000000000000000000000,62bd9784da59e3e0d81a93e53b39b089,af49d3de8c4af4dcb8b19846637418b1
0,00000000000000000000000000000000,7b5f30df207f26475d5a750ff75ea9fb,89768e0275fc8b329e437a30845e9325
0,00000000000000000000000000000000,195e227fc9cf96be96b3936572bb7b8e,6dfb0f03ca0bbe827ab0a064e460334b
0,00000000000000000000000000000000,c74135dd2c4d08d137aca4729c3916fa,1fc8fe086b242d7f008ec5318e5866fa
0,00000000000000000000000000000000,c6917029443b935656600fb44d2dcf26,d87b248093229babda3034677c0a5153
0,00000000000000000000000000000000,4574364c175a3ab6bc0def8d96c1a714,f755db55822a6c738c89c747b13ae0e2
0,00000000000000000000000000000000,4985ee478a5217f052cbe5da4f158fcb,ea8bbae95a72997a348da684578a961d
0,00000000000000000000000000000000,648574dd04aebdb86cb82f24b73bdee9,62c4801bd66ad8251c25f851adeb9725
